ma_sp,ten_sp,phan_loai,gia,ngay_nhap_hang,ngay_xuat_hang,mo_ta
4236382621458,New Frozen Bacon,Books,48755.89806900212,2021-09-24,2021-09-08,"['Nemo vitae corporis culpa assumenda vero minus.', 'Beatae at occaecati distinctio.', 'Porro reiciendis vero ratione.']"
7368364751642,Fantastic Sausages,Computers,584099.1047116299,2022-03-02,2022-02-14,"['Veritatis nostrum quibusdam laboriosam laborum.', 'Molestias sunt sed consequatur exercitationem.', 'Neque odit consequuntur quaerat est sunt voluptates.']"
9538982853440,Sleek Keyboard,Games,203408.98796324377,2022-09-08,2022-08-23,"['Voluptatibus commodi eos in.', 'Dolorum doloremque laboriosam eos.', 'Esse doloremque adipisci nulla officiis vel.']"
3596254738952,New Soft Soap,Garden,567083.4785980786,2022-04-13,2022-03-28,"['Omnis maxime omnis nihil iure.', 'Qui corporis esse magnam possimus dolores reprehenderit qui.', 'Tempore quidem quos delectus veniam.']"
6027624825332,Fish,Sports,457944.38045309077,2022-04-24,2022-04-08,"['Consectetur voluptatem explicabo natus voluptas sunt aspernatur.', 'Quos esse sequi distinctio numquam.', 'Recusandae fugit cupiditate sunt odio ratione.']"
8568906675224,Fantastic Keyboard,Books,91911.87818837895,2022-02-16,2022-01-31,"['Officiis dolorem alias doloribus illo ad delectus.', 'At delectus est ullam alias nobis.', 'Voluptate atque ut mollitia quidem.']"
6004102220346,Metal Towels,Movies,71270.42444887667,2022-09-09,2022-08-24,"['Blanditiis ea ab perspiciatis consectetur veritatis.', 'Dicta unde quibusdam.', 'Pariatur cupiditate ratione.']"
2509465173581,Incredible Pants,Movies,249451.42254414604,2022-02-26,2022-02-10,"['Cumque corrupti amet beatae voluptatem neque corporis.', 'Voluptatum sunt nihil id blanditiis architecto praesentium quam.', 'Temporibus tempore quia ut accusamus eaque numquam.']"
4590944061459,Computer,Kids,74574.3293625177,2022-11-20,2022-11-04,"['Quo odit iste voluptates autem hic ea ratione.', 'Deserunt explicabo fuga reprehenderit repellat.', 'Id quae facilis illum soluta.']"
9203975260481,Plastic Bike,Music,769281.1668689692,2023-02-15,2023-01-30,"['Beatae ut ad dolores omnis alias aspernatur.', 'Esse modi recusandae iure fuga iusto maxime.', 'Atque quisquam quasi vel occaecati quae qui.']"
8227397221371,Cheese,Books,228990.54761876512,2021-10-18,2021-10-02,"['Vitae voluptatem iusto eos voluptate.', 'Unde officiis aspernatur iste.', 'Alias aliquid sunt modi natus sunt rerum.']"
5179317550074,Gently Used Cotton Tuna,Jewelery,46385.37774315394,2023-08-01,2023-07-16,"['Eveniet ipsum molestiae porro unde alias.', 'Fugit unde eum impedit reprehenderit magni.', 'Tenetur aliquid cumque et quod.']"
4567633722175,For repair Fish,Garden,541802.8238707097,2023-01-29,2023-01-13,"['Minus dolore velit earum.', 'Tempore qui porro ad.', 'Quis quos dolore magnam ratione unde.']"
7508062088156,Metal Gloves,Clothing,415494.8688259944,2022-04-18,2022-04-02,"['Labore repellendus velit iusto consequatur atque consequatur ipsam.', 'Vero libero numquam sit consequatur ex.', 'Libero deleniti vero minus consectetur.']"
3230251283298,Bacon,Games,44977.40503484129,2022-01-04,2021-12-19,"['Odio maiores amet nisi.', 'Neque repellendus in quidem maxime.', 'Quisquam dicta nesciunt libero nihil.']"
4729293537494,Chair,Electronics,38799.94211995936,2023-04-29,2023-04-13,"['Nostrum ex voluptates.', 'Vero itaque laudantium sapiente quisquam.', 'Laudantium tenetur molestiae explicabo architecto quisquam rem.']"
1909339833473,Fantastic Ball,Music,883856.9657738886,2022-07-22,2022-07-06,"['Quo minus sed repellat eius porro ad.', 'Laboriosam enim dolorem expedita eligendi repellendus.', 'Et culpa a cum.']"
6091292395800,Granite Chicken,Music,233804.965234966,2022-02-20,2022-02-04,"['Ipsum magnam tempora soluta.', 'Id optio ad nemo autem deleniti ullam possimus.', 'Nostrum porro recusandae molestias vitae dignissimos.']"
7541648887415,Soft Shirt,Computers,193757.69477440367,2023-03-27,2023-03-11,"['Alias mollitia veniam.', 'Voluptas totam atque voluptates voluptatibus dicta.', 'Laudantium ipsum porro eum.']"
2958614960853,Fish,Home,275709.8098609818,2023-01-10,2022-12-25,"['Minus ea praesentium.', 'Vel libero officia odit.', 'Eveniet aliquam amet ex dignissimos.']"
7350095527184,Table,Games,690465.5098119349,2022-02-22,2022-02-06,"['Provident facere molestiae numquam voluptatum voluptas ullam provident.', 'Nihil minima ab doloribus magnam quos voluptates exercitationem.', 'Asperiores facere harum est exercitationem distinctio facere.']"
5109313337249,Ergonomic Fresh Chair,Garden,680061.9524345818,2022-05-01,2022-04-15,"['Repellat facere officia ipsum magnam.', 'Rerum rem architecto laboriosam veniam.', 'Quibusdam nihil dolorum quisquam.']"
4209821397665,Ball,Home,273092.7231616969,2022-09-14,2022-08-29,"['Iure eligendi omnis veniam.', 'Earum ipsam modi ad doloribus placeat id unde.', 'Sit architecto animi dolores tempora eos.']"
0584145469453,Chair,Sports,242836.16604227328,2021-12-09,2021-11-23,"['Quas eius magni voluptatum porro.', 'Accusamus dignissimos beatae voluptatem cupiditate eaque impedit.', 'Fugiat quod numquam veniam quaerat earum.']"
4433262627566,Sleek Table,Home,938195.4922320372,2023-05-10,2023-04-24,"['Illum cupiditate deserunt ad.', 'Porro expedita delectus quod voluptatem expedita.', 'Enim dolorem placeat repellat.']"
3972811236084,Incredible Gloves,Tools,257132.67445387246,2022-12-28,2022-12-12,"['Fuga tenetur rem quasi eos atque laudantium.', 'Ratione porro veniam iste quasi.', 'Eveniet sequi maiores adipisci.']"
7090100583094,Tasty Fresh Salad,Music,644971.9324004262,2022-06-12,2022-05-27,"['Aspernatur aperiam ducimus mollitia expedita error quis.', 'Sunt a officiis maiores.', 'Fuga sed quisquam.']"
2552787896799,Car,Shoes,470461.36995265255,2023-03-20,2023-03-04,"['Ea veritatis voluptate facere explicabo.', 'Animi laborum veniam.', 'Explicabo sint doloribus voluptates voluptatibus.']"
7626814269605,Computer,Beauty,47440.43189095158,2023-08-21,2023-08-05,"['Voluptas quasi excepturi omnis quo eius.', 'Sint ea id quo.', 'Sunt iusto odit magnam.']"
9845123173405,Awesome Fresh Pants,Health,210050.49562157367,2022-07-09,2022-06-23,"['Ipsa voluptatum quia eos deserunt sapiente autem.', 'Laborum eum quibusdam in nam voluptas magni.', 'Accusantium provident odit qui perferendis aperiam debitis accusamus.']"
2367402924708,Chips,Clothing,330117.93576309434,2021-09-26,2021-09-10,"['Aspernatur consequatur temporibus aliquam deserunt.', 'Dolore fuga eos.', 'Quos non autem voluptas eligendi possimus dicta.']"
3488271093407,Sleek Towels,Jewelery,173271.4497852531,2021-11-29,2021-11-13,"['Ipsam repellat architecto ab tempora similique neque.', 'Autem reiciendis eveniet nulla est itaque amet.', 'Fuga ut totam animi quos.']"
7863414395642,Intelligent Granite Car,Electronics,566787.3728167872,2023-02-14,2023-01-29,"['Cupiditate nulla id temporibus debitis minima dicta.', 'Veritatis excepturi mollitia optio modi aliquid.', 'Nam doloremque eum ipsum neque.']"
1732406169522,For repair Sausages,Garden,523688.6419879225,2023-05-11,2023-04-25,"['Sequi sit cum perferendis quo sequi.', 'Non quas cum magni aspernatur quasi mollitia.', 'Nemo minima atque.']"
0955814475202,Used Chair,Tools,677090.4778061127,2022-04-25,2022-04-09,"['Accusamus excepturi itaque cupiditate ullam.', 'Minus quidem excepturi culpa quisquam voluptatibus necessitatibus occaecati.', 'Recusandae quod cumque facilis nihil optio laudantium quasi.']"
4834206010749,Shirt,Computers,16527.755222235028,2023-07-03,2023-06-17,"['Officia doloribus laboriosam officia sapiente.', 'Porro veritatis officia error dolorum animi.', 'Sint libero dignissimos reprehenderit numquam eum ipsum.']"
6427024341959,Used Ball,Industrial,111194.39888856406,2023-08-26,2023-08-10,"['Eos repellat rem.', 'Assumenda voluptas accusantium aspernatur natus sit.', 'Cupiditate voluptatum culpa cumque distinctio asperiores.']"
7807857047355,Ergonomic Chips,Games,864000.2467638016,2023-05-05,2023-04-19,"['Omnis maxime provident excepturi ab.', 'Magni in odio.', 'Sed alias voluptate mollitia.']"
5780433590969,Pizza,Automotive,56507.58928749231,2021-09-22,2021-09-06,"['Atque iusto vel nisi natus aliquam.', 'Dicta quasi assumenda facere.', 'Eos quis nulla possimus cum.']"
2321387028530,Cotton Bike,Outdoors,271084.0294071612,2021-09-20,2021-09-04,"['Labore repellendus earum nostrum quod illum ducimus vel.', 'Consequatur expedita voluptatum a beatae nobis consequuntur.', 'Blanditiis at reprehenderit est provident.']"
9376593281159,Rustic Bike,Sports,439809.48179327423,2022-12-17,2022-12-01,"['Dolorum quisquam provident voluptate officiis.', 'Rem voluptatem ex quos minus iusto.', 'Beatae reprehenderit amet laudantium.']"
8990034546969,Wooden Keyboard,Sports,303739.7752170256,2023-02-21,2023-02-05,"['Eius voluptates dignissimos.', 'Placeat facilis maxime dicta ratione.', 'Voluptatem maxime explicabo voluptatibus perspiciatis eligendi voluptatibus.']"
3786815128210,Steel Computer,Sports,216518.4697599482,2022-01-07,2021-12-22,"['Reprehenderit nam iusto quam rerum.', 'Commodi unde occaecati nostrum veritatis at distinctio.', 'Molestiae minus aspernatur dolores nesciunt veritatis.']"
5751880996840,Handmade Plastic Shoes,Music,412870.9775852429,2022-03-07,2022-02-19,"['Corrupti esse hic doloremque deserunt eaque.', 'Odio beatae fugit ad omnis.', 'Tempora hic totam a quo fugiat odit perspiciatis.']"
8211772100092,Fresh Hat,Jewelery,556004.2482670264,2022-07-27,2022-07-11,"['Mollitia pariatur harum ipsum.', 'Assumenda placeat nobis aspernatur architecto voluptas.', 'Est saepe aliquam.']"
8562901886616,Shoes,Clothing,910779.3351382621,2021-10-31,2021-10-15,"['Expedita quibusdam nam sint.', 'Unde magni hic voluptates vitae maxime impedit.', 'Veniam quo similique.']"
6536192028699,Shirt,Games,270833.9711456038,2022-08-18,2022-08-02,"['Sed earum et voluptatum.', 'Ut corporis minus dicta pariatur.', 'Ipsam necessitatibus ea nostrum sint.']"
8023184136725,Plastic Bike,Jewelery,58635.464080387304,2023-07-07,2023-06-21,"['Quo explicabo voluptatibus ea saepe.', 'Hic repellat nostrum veritatis rerum consequuntur repellat.', 'Excepturi sint voluptatibus.']"
9015582940126,Fresh Chair,Toys,182134.88957678014,2021-09-30,2021-09-14,"['Odio delectus reprehenderit rerum eius fuga.', 'Facere facere necessitatibus ab.', 'Nisi sequi aut dolor ipsam.']"
7199204837062,Steel Bacon,Toys,802756.2157623214,2022-12-13,2022-11-27,"['Nobis temporibus soluta.', 'Nam necessitatibus unde voluptatibus inventore.', 'Numquam reprehenderit laudantium accusamus debitis in molestias alias.']"
1599078837889,Soft Mouse,Outdoors,300670.6115353706,2021-12-08,2021-11-22,"['Eaque officia nemo nihil voluptatem ex cupiditate tempora.', 'Eaque enim dolores odio suscipit.', 'Quas quos explicabo.']"
6772392266329,Plastic Computer,Sports,167783.1953820799,2022-10-11,2022-09-25,"['Soluta sunt odio iste perspiciatis.', 'Illo accusamus esse cum voluptatibus.', 'Cumque voluptas eveniet earum architecto.']"
2973659806850,Plastic Ball,Clothing,169355.23128315786,2022-07-30,2022-07-14,"['Rerum natus adipisci similique harum ipsa reiciendis.', 'Provident quaerat repellendus incidunt aliquid.', 'Itaque laudantium ducimus quo.']"
2300149288818,Pants,Shoes,89303.76104516022,2023-04-17,2023-04-01,"['Molestias porro quidem animi.', 'Amet hic id dolorum magni vero nam.', 'Animi dignissimos atque laudantium ad sunt assumenda.']"
9765659646924,New Ball,Games,754500.2884070033,2022-08-16,2022-07-31,"['Aut ipsum minima.', 'Iusto nihil ad impedit.', 'Cum maxime doloremque ullam omnis ab.']"
8336633750510,Incredible Frozen Tuna,Home,516067.00858979614,2023-01-15,2022-12-30,"['Similique cum architecto.', 'Eaque voluptate fugit eius.', 'A soluta nostrum.']"
5970626476129,Chips,Kids,393879.7531916601,2021-11-04,2021-10-19,"['Nulla sed laudantium odio.', 'Ullam accusantium dolores consectetur.', 'Deserunt debitis sed odio quam perferendis perspiciatis.']"
1330014418553,Concrete Shoes,Games,529028.8729988751,2023-03-10,2023-02-22,"['Impedit sit mollitia mollitia.', 'Magni magnam cum doloremque vel dolorem non.', 'Dolore ea aut quibusdam corporis.']"
9724533617603,Granite Chips,Tools,149065.5172515658,2023-04-08,2023-03-23,"['Veniam fugiat repellendus consequatur laboriosam vitae mollitia.', 'Dolor quos reiciendis beatae officia ipsa assumenda.', 'Cum veritatis vel totam id.']"
0291339034860,Shirt,Grocery,107075.00291902348,2022-07-17,2022-07-01,"['Ducimus sint fugiat placeat.', 'Similique provident alias perspiciatis quae eius.', 'Temporibus est exercitationem cum voluptate.']"
0299893506717,Frozen Hat,Electronics,88088.73932549659,2022-05-22,2022-05-06,"['Fugit repellendus ea aliquam.', 'Incidunt illo dolorem distinctio facere omnis.', 'Incidunt adipisci fuga reiciendis distinctio consectetur.']"
2561020410852,Soft Chips,Computers,984267.6918959824,2022-01-08,2021-12-23,"['Natus porro natus voluptatum.', 'Totam exercitationem non debitis alias ullam quis.', 'Quia modi maxime sint eaque suscipit sit sed.']"
5186703273288,Ergonomic Granite Salad,Automotive,347296.64731955255,2021-11-16,2021-10-31,"['Suscipit neque a accusamus perspiciatis odit deleniti.', 'Recusandae neque inventore.', 'Eveniet ipsa adipisci repellat.']"
0677846135946,Salad,Grocery,735946.9056968576,2022-09-10,2022-08-25,"['Fugit tempora ad necessitatibus.', 'Laudantium libero expedita perferendis nesciunt quidem.', 'Expedita sed esse excepturi.']"
5268975861162,Tasty Plastic Ball,Clothing,751446.445155137,2023-05-19,2023-05-03,"['Quasi molestiae quos in omnis.', 'Aut fuga suscipit omnis ut.', 'Harum cupiditate esse perspiciatis nulla deleniti.']"
0924060321533,Cotton Keyboard,Computers,785103.6588424741,2022-05-01,2022-04-15,"['Quo rerum architecto labore blanditiis ex.', 'Saepe veritatis est ipsa laborum quia possimus.', 'Magni ratione dolorem provident.']"
6234119386081,Handmade Car,Games,892425.0382665426,2022-05-10,2022-04-24,"['Pariatur velit facilis.', 'Veniam rem modi temporibus praesentium dolores quos dicta.', 'Dicta error natus.']"
8041623125444,Incredible Wooden Soap,Industrial,566519.1895601344,2023-07-12,2023-06-26,"['Illum voluptas consequatur necessitatibus animi nihil.', 'Omnis quisquam expedita nesciunt.', 'Nostrum accusantium adipisci voluptates assumenda et.']"
3577723723129,Bike,Home,598915.3409718922,2022-09-06,2022-08-21,"['Totam ea deleniti maxime eaque.', 'Modi blanditiis quam blanditiis impedit maiores.', 'Corrupti eaque aliquam at accusantium voluptates distinctio.']"
7825966351866,Gently Used Wooden Pants,Home,984893.9637750036,2022-06-19,2022-06-03,"['Dolorum rem distinctio exercitationem nulla.', 'Aliquid dignissimos quos minus totam voluptas.', 'Qui quis autem numquam nulla ab libero officiis.']"
7846855303254,Frozen Bike,Shoes,706541.4756074817,2022-07-18,2022-07-02,"['Expedita et officia impedit soluta libero quia odit.', 'Totam amet sequi molestias.', 'Aspernatur quidem optio deleniti totam nam.']"
3957661421323,Awesome Plastic Cheese,Computers,784091.5070335155,2022-09-30,2022-09-14,"['Nesciunt officiis at non dicta minus.', 'Qui saepe recusandae cupiditate accusamus suscipit.', 'Deleniti incidunt eaque expedita.']"
2332728067903,Soap,Jewelery,894497.373326264,2022-03-05,2022-02-17,"['Perspiciatis mollitia nesciunt voluptatem dicta.', 'Minima doloribus quam quae voluptates.', 'Aut animi amet excepturi.']"
1982144539822,Fantastic Ball,Shoes,999659.045412754,2023-03-13,2023-02-25,"['Rem facere quo possimus nulla vel consequuntur.', 'Consequuntur ex nemo doloremque.', 'Quia quis sequi earum nemo ad.']"
1824095839258,Ergonomic Shirt,Jewelery,761669.1871589945,2022-12-25,2022-12-09,"['Harum debitis a aliquam exercitationem ipsam maiores.', 'Ipsa accusantium ducimus aliquid.', 'Deserunt omnis sapiente.']"
3389323968196,Gorgeous Car,Baby,687119.7701818515,2022-03-26,2022-03-10,"['Aut beatae dolores laboriosam officia harum.', 'Id fugiat delectus dolor consectetur voluptates non.', 'Similique reprehenderit iste.']"
9606422194917,Rustic Shirt,Sports,853581.6508862111,2021-10-07,2021-09-21,"['Numquam deleniti a omnis.', 'Aperiam ducimus dolore quod ratione non iusto.', 'Fuga odio vero consectetur quae nam officiis pariatur.']"
5692558525859,Steel Bacon,Movies,403462.06442807056,2023-05-02,2023-04-16,"['Animi incidunt possimus laborum commodi.', 'Necessitatibus magni ratione necessitatibus sapiente dicta recusandae.', 'Molestias corporis quo deleniti aliquam excepturi illo impedit.']"
2197905493728,Shirt,Outdoors,866655.330367452,2022-09-25,2022-09-09,"['Quidem aspernatur voluptates.', 'Aspernatur ipsam rem vero saepe.', 'Accusantium dicta voluptatum cupiditate.']"
6036320479039,Rubber Tuna,Baby,54175.42130141592,2022-10-28,2022-10-12,"['Animi debitis omnis assumenda quae.', 'Expedita quibusdam eligendi atque quasi tenetur officia.', 'Provident nesciunt error nostrum quia velit.']"
8643076017729,Handmade Computer,Computers,37728.764102161906,2022-06-09,2022-05-24,"['Eum ducimus ipsum.', 'Delectus quo hic.', 'Nobis possimus eveniet dolorum.']"
8610372537909,Concrete Car,Grocery,99292.14018141221,2022-10-17,2022-10-01,"['Est libero ab accusantium animi cupiditate optio quod.', 'Itaque illum distinctio quis deleniti ipsum labore.', 'Quos vel eos provident.']"
1268740014964,Unbranded Cotton Tuna,Kids,543897.923069181,2023-08-06,2023-07-21,"['Explicabo aliquam hic quos sapiente.', 'Illo natus accusantium.', 'Molestias sapiente quas quidem id.']"
1538625204842,Soap,Games,862098.2711620426,2023-01-25,2023-01-09,"['Consequatur soluta accusamus sed architecto aspernatur.', 'Unde quam maiores quo.', 'Sit ratione dolore.']"
8327181452254,Soap,Automotive,468126.49280747975,2023-02-19,2023-02-03,"['Doloribus optio asperiores minima molestiae animi.', 'Dolores suscipit voluptatem.', 'Voluptates repudiandae veritatis nobis.']"
3006995742403,Unbranded Granite Ball,Baby,832602.4385018707,2022-11-05,2022-10-20,"['Neque esse quidem saepe eum.', 'Quasi amet accusantium alias similique facere corporis.', 'Exercitationem qui officiis.']"
9475470673510,Practical Tuna,Clothing,388712.98011474084,2021-09-19,2021-09-03,"['Laboriosam occaecati atque sunt fuga tempora id dolorum.', 'Saepe iure deleniti animi illum.', 'Aspernatur itaque nulla odit.']"
9773493366694,Unbranded Metal Mouse,Automotive,920373.0777761014,2022-08-13,2022-07-28,"['Voluptate in ratione officiis praesentium soluta quaerat.', 'Saepe rerum nisi.', 'Occaecati suscipit vitae alias dolor.']"
5514845938022,Concrete Towels,Automotive,732682.0095213016,2021-10-03,2021-09-17,"['Dolores dolore sint omnis quae quis veritatis.', 'Autem laborum suscipit aspernatur nemo.', 'Animi neque mollitia illum.']"
8207388413787,Cotton Gloves,Industrial,587732.0383377853,2022-07-22,2022-07-06,"['Reprehenderit corrupti deserunt facilis quae quibusdam.', 'Mollitia quam voluptas facilis.', 'Inventore alias quas consectetur porro sequi.']"
7207784054547,Granite Pizza,Books,639873.0161840253,2022-09-12,2022-08-27,"['Suscipit quia aperiam ipsa inventore laborum officia.', 'Sequi non recusandae iusto totam placeat ipsum.', 'Tempora consequatur nihil in illo.']"
7739122670909,Ergonomic Salad,Music,156573.1648747522,2023-05-13,2023-04-27,"['Corrupti beatae facilis ratione soluta magni sed quod.', 'Qui sunt repudiandae.', 'Eveniet dolorem deleniti dicta tenetur alias.']"
5140117652145,Tasty Wooden Tuna,Beauty,307450.17741068115,2023-03-06,2023-02-18,"['Quam dicta quo delectus.', 'Incidunt delectus mollitia aut delectus impedit vel.', 'Et tenetur sit eligendi eum nemo.']"
5567091180288,Cotton Chips,Games,113058.26769484156,2022-02-25,2022-02-09,"['Facere excepturi eveniet quas ea.', 'Blanditiis vel asperiores autem rem molestias.', 'Non temporibus harum velit fugiat.']"
1272188032879,Shirt,Electronics,85080.69853086038,2022-05-25,2022-05-09,"['Dignissimos odio beatae molestiae officia tempora.', 'Culpa esse consequatur nesciunt nam debitis ut.', 'Culpa consequuntur placeat optio alias fugiat mollitia eum.']"
3598973153221,Frozen Ball,Tools,655812.346099023,2023-07-30,2023-07-14,"['Quia repellat aspernatur doloribus non commodi voluptatibus.', 'Aut provident sint placeat.', 'Amet aliquam deleniti placeat error occaecati.']"
6747239705941,Tasty Frozen Shirt,Jewelery,613394.8657232444,2022-08-03,2022-07-18,"['Officiis officiis autem eveniet doloribus.', 'Itaque quia corrupti occaecati.', 'Molestias repellat aliquid.']"
8196602303051,Wooden Table,Tools,359698.90210919833,2023-04-20,2023-04-04,"['Vero nisi sed.', 'Eveniet sed corporis officiis.', 'Rem labore assumenda excepturi.']"
7209684260462,Unbranded Chair,Movies,513569.6062494393,2023-03-09,2023-02-21,"['Aut recusandae reprehenderit voluptatum itaque voluptate.', 'Odit quasi iure repellendus reprehenderit incidunt.', 'Perferendis est placeat.']"
1534491009826,Incredible Plastic Sausages,Outdoors,266966.04505658406,2023-01-17,2023-01-01,"['Quod soluta deserunt.', 'Harum voluptate minima explicabo et culpa.', 'Velit quas ipsa rem.']"
4975310492875,Steel Shoes,Health,837992.4917587586,2022-12-07,2022-11-21,"['Maiores atque impedit sapiente inventore ipsam sint nemo.', 'At rerum facere autem cupiditate.', 'Veritatis qui sequi perferendis vitae dicta.']"
3613144543578,Gloves,Books,312464.57940201624,2023-06-01,2023-05-16,"['Nobis dicta culpa sunt molestias.', 'Similique aliquam voluptatum similique debitis porro.', 'Dicta voluptatem quibusdam fuga accusantium cupiditate.']"
7212074178889,Shirt,Kids,230235.99362451435,2021-11-26,2021-11-10,"['Architecto sunt harum dolor molestias voluptates.', 'Quisquam soluta unde recusandae perspiciatis.', 'Necessitatibus quis similique accusamus necessitatibus corporis sed error.']"
3826861365709,Soft Gloves,Books,970544.5425061968,2022-07-20,2022-07-04,"['Aspernatur animi sint nisi.', 'Perferendis eum vero aliquam fuga id porro.', 'Neque quo delectus.']"
1381789782134,Car,Garden,372347.2850783063,2022-04-21,2022-04-05,"['Soluta iure minima distinctio.', 'Debitis officiis modi atque possimus distinctio.', 'Impedit eius placeat at eaque.']"
0330989968825,Ball,Baby,654567.5961301569,2022-03-24,2022-03-08,"['Soluta rem ratione.', 'Nisi dolorum veritatis.', 'Ipsa adipisci molestiae a sapiente.']"
0019325940656,Shoes,Home,646037.3672441536,2022-10-08,2022-09-22,"['Quibusdam nesciunt perferendis maxime.', 'Cumque dolor totam dicta ipsum tempore distinctio.', 'Quos reprehenderit est accusamus qui voluptatem odit distinctio.']"
1385879237665,Cheese,Music,144121.50260751983,2022-08-19,2022-08-03,"['Aliquam voluptatibus ut ex odio.', 'Ullam exercitationem odit.', 'Odit ipsam deserunt magni fugit.']"
0122521836767,Chair,Jewelery,935387.7482617621,2022-07-02,2022-06-16,"['Quasi a suscipit.', 'Omnis nostrum nihil nostrum laborum nihil.', 'Nam autem accusamus voluptates assumenda.']"
7699878425331,Refined Steel Soap,Sports,861193.634597455,2023-01-27,2023-01-11,"['Voluptatem inventore omnis soluta inventore eum eum.', 'Tempore nobis qui ipsam ipsam quo.', 'Quidem deserunt quidem veniam et possimus necessitatibus.']"
8161203581092,Concrete Pants,Music,957851.1064766936,2022-02-08,2022-01-23,"['Nemo pariatur similique.', 'Autem accusantium dolorem sapiente perferendis non asperiores.', 'Expedita dolorum nam hic id dolor quod.']"
4442083574348,Shirt,Music,38258.22593639442,2023-03-06,2023-02-18,"['Aliquam minus praesentium vero pariatur iste maiores.', 'Doloremque explicabo id aut.', 'Porro quisquam quos dolor.']"
8447753816694,Refined Chips,Kids,667668.1266663893,2022-08-27,2022-08-11,"['Ipsa nisi omnis quod.', 'Eum quod iusto esse at voluptatibus.', 'Totam molestiae deserunt nisi dolor qui asperiores.']"
